db,s(byte),sdb(byte),total time-server (s),fileToBufferTime (s),forLoopTime (s),getDataTime (s),sumMulTime (s),saveDataTime (s)
resources/10x1x8s/,2,32,0.00227948,0,0,0,0,0
resources/10x1x8s/,2,32,0.000106404,0,0,0,0,0
resources/10x1x8s/,2,32,9.8459e-05,0,0,0,0,0
resources/16x1x1/,2,1048576,2.12491,0,0,0,0,0
resources/104x1x1/,13,1048576,2.97634,0,0,0,0,0
resources/104x1x1/,13,1048576,0.508467,0,0,0,0,0
resources/104x1x1/,13,1048576,0.483387,0,0,0,0,0
resources/104x1x1/,13,1048576,0.484051,0,0,0,0,0
resources/104x1x1/,13,1048576,0.481171,0,0,0,0,0
resources/104x1x1/,13,1048576,0.468463,0,0,0,0,0
resources/104x1x1/,13,1048576,0.473895,0,0,0,0,0



resources/100x1x64/,800,1048576,0.0699733,0,0,0,0,0
resources/100x1x64/,800,1048576,0.0495418,0,0,0,0,0
resources/100x1x64/,800,1048576,0.0442293,0,0,0,0,0
resources/100x1x64/,800,1048576,0.0463873,0,0,0,0,0
resources/100x1x32/,400,1048576,0.0904639,0,0,0,0,0
resources/100x1x32/,400,1048576,0.0780759,0,0,0,0,0
resources/100x1x32/,400,1048576,0.0806999,0,0,0,0,0
resources/100x1x32/,400,1048576,0.0850343,0,0,0,0,0
resources/100x1x16/,200,1048576,0.157185,0,0,0,0,0
resources/100x1x16/,200,1048576,0.153479,0,0,0,0,0
resources/100x1x16/,200,1048576,0.161025,0,0,0,0,0
resources/100x1x16/,200,1048576,0.152683,0,0,0,0,0
resources/100x1x8/,100,1048576,0.299333,0,0,0,0,0
resources/100x1x8/,100,1048576,0.296285,0,0,0,0,0
resources/100x1x8/,100,1048576,0.297322,0,0,0,0,0
resources/100x1x8/,100,1048576,0.297083,0,0,0,0,0
resources/104x1x1/,13,1048576,0.467066,0,0,0,0,0
resources/104x1x1/,13,1048576,0.469143,0,0,0,0,0
resources/104x1x1/,13,1048576,0.466128,0,0,0,0,0
resources/104x1x1/,13,1048576,0.469889,0,0,0,0,0
resources/104x1x1/,13,1048576,0.471298,0,0,0,0,0
resources/1024x102400x1/,128,102400,0.349481,0,0,0,0,0
resources/1024x102400x1/,128,102400,0.351971,0,0,0,0,0
resources/1024x102400x1/,128,102400,0.356086,0,0,0,0,0
resources/1024x102400x8/,1024,102400,0.296432,0,0,0,0,0
resources/1024x102400x8/,1024,102400,0.295975,0,0,0,0,0
resources/1024x102400x8/,1024,102400,0.290113,0,0,0,0,0
resources/104x1x1/,13,1048576,0.126429,0,0,0,0,0
resources/104x1x1/,13,1048576,0.12677,0,0,0,0,0
resources/104x1x1/,13,1048576,0.0993529,0,0,0,0,0
resources/104x1x1/,13,1048576,0.099296,0,0,0,0,0
resources/104x1x1/,13,1048576,0.102529,0,0,0,0,0
resources/104x1x1/,13,1048576,0.100217,0,0,0,0,0
resources/104x1x1/,13,1048576,0.0995801,0,0,0,0,0
resources/104x1x1/,13,1048576,0.103047,0,0,0,0,0
resources/104x1x1/,13,1048576,0.10112,0,0,0,0,0
resources/104x1x1/,13,1048576,0.102739,0,0,0,0,0
resources/104x1x1/,13,1048576,0.103608,0,0,0,0,0
resources/104x1x1/,13,1048576,0.10318,0,0,0,0,0
resources/104x1x1/,13,1048576,0.103514,0,0,0,0,0
resources/104x1x1/,13,1048576,0.104077,0,0,0,0,0
resources/104x1x1/,13,1048576,0.103019,0,0,0,0,0
resources/100x1x8/,100,1048576,0.0699789,0,0,0,0,0
resources/100x1x8/,100,1048576,0.0726,0,0,0,0,0
resources/100x1x8/,100,1048576,0.0705681,0,0,0,0,0
resources/104x1x1/,13,1048576,0.105456,0,0,0,0,0
resources/104x1x1/,13,1048576,0.102622,0,0,0,0,0
resources/104x1x1/,13,1048576,0.102784,0,0,0,0,0
resources/104x1x1/,13,1048576,0.103449,0,0,0,0,0
resources/1000x1x1/,125,1048576,0.1935,0,0,0,0,0
resources/1000x1x1/,125,1048576,0.245801,0,0,0,0,0
resources/1000x1x1/,125,1048576,0.198436,0,0,0,0,0
resources/1000x1x1/,125,1048576,0.202951,0,0,0,0,0
resources/1000x1x8/,1000,1048576,0.63405,0,0,0,0,0
resources/1000x1x8/,1000,1048576,0.630946,0,0,0,0,0
resources/1000x1x8/,1000,1048576,0.633849,0,0,0,0,0
resources/1000x1x8/,1000,1048576,0.632656,0,0,0,0,0
resources/104x1x1/,13,1048576,0.435682,0,0,0,0,0
resources/104x1x1/,13,1048576,0.432364,0,0,0,0,0
resources/104x1x1/,13,1048576,0.443069,0,0,0,0,0
resources/104x1x1/,13,1048576,0.438831,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.64989,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.64003,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.64857,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.63872,0,0,0,0,0
resources/3000x1x1/,375,1048576,1.64929,0,0,0,0,0
